sample_id,TP,TN,FP,FN,Accuracy,IoU,F1
1081809_DF_080_080BDF0070_00884,135,193394,1033,1277,0.9882045966329485,0.05521472392638037,0.10465116279069768
1081812_DF_080_080BDF0070_00890,566,188432,3779,3062,0.9650682448337665,0.07641420278115296,0.14197917973159413
1081813_DF_080_080BDF0070_00891,1041,186723,4467,3608,0.958767150567558,0.11419482229047828,0.20498178596042138
1081817_DF_080_080BDF0070_00898,127,191578,1709,2425,0.9788908235846793,0.029805210044590472,0.05788514129443938
1081818_DF_080_080BDF0070_00900,608,186930,3512,4789,0.9576131414069721,0.06824559434279942,0.12777135651991173
1081828_DF_080_080BDF0070_00918,107,194983,361,388,0.99617542981735,0.125,0.2222222222222222
1081889_DF_080_080BDF0070_01028,484,189043,1646,4666,0.9677694432671735,0.07121836374337846,0.13296703296703297
1081890_DF_080_080BDF0070_01030,200,189712,1339,4588,0.9697353438283488,0.03264240248082259,0.0632211158526948
1081891_DF_080_080BDF0070_01032,147,192409,1527,1756,0.9832362297601601,0.04285714285714286,0.0821917808219178
1081894_DF_080_080BDF0070_01037,1455,180505,2320,11559,0.9291305613284382,0.09488717881831225,0.17332777413782835
1081895_DF_080_080BDF0070_01039,541,186479,2042,6777,0.9549681115610271,0.0577991452991453,0.10928189071810929
1081896_DF_080_080BDF0070_01041,403,190850,2402,2184,0.9765828052635073,0.08077771096412106,0.14948071216617212
1081908_DF_080_080BDF0070_01067,267,192340,1361,1871,0.9834966477565755,0.07630751643326665,0.1417950079660117
1081923_DF_080_080BDF0070_01095,2,195165,280,392,0.9965686099295851,0.002967359050445104,0.005917159763313609
1082104_DF_080_080BDF0070_01444,18,194850,419,552,0.9950418455976593,0.01820020222446916,0.03574975173783516
1082211_DF_080_080BDF0070_01699,333,188730,1141,5635,0.9654001501233156,0.04684203122802082,0.08949207202364956
1082212_DF_080_080BDF0070_01703,215,189319,1155,5150,0.9678051869137404,0.032975460122699383,0.06384558277654045
1082215_DF_080_080BDF0070_01712,130,191771,621,3317,0.9798916456885503,0.0319567354965585,0.06193425440686041
1082216_DF_080_080BDF0070_01715,70,191873,219,3677,0.9801061075679512,0.017650025214321734,0.03468780971258672
1082217_DF_080_080BDF0070_01718,227,188951,1211,5450,0.9659873671740562,0.032955865272938444,0.06380885453267744
1082218_DF_080_080BDF0070_01721,219,191292,1004,3324,0.9779002139512559,0.04816362436771498,0.09190096516995384
1082219_DF_080_080BDF0070_01724,0,194640,822,377,0.9938776239666256,0.0,0.0
1082220_DF_080_080BDF0070_01727,0,195298,25,516,0.997237526743907,0.0,0.0
1082223_DF_080_080BDF0070_01734,69,187311,596,7863,0.9568063562416066,0.008090994371482176,0.016052111201581946
1082224_DF_080_080BDF0070_01737,1595,181399,3122,9723,0.9344104085498802,0.11045706371191136,0.19893981914561895
1082234_DF_080_080BDF0070_01764,38,191398,448,3955,0.9775172463094685,0.008556631389326727,0.016968073230631837
1082253_DF_080_080BDF0070_01829,1030,179063,2111,13635,0.9195972201655441,0.06139723414401526,0.11569133999775356
1082254_DF_080_080BDF0070_01831,1984,175162,4090,14603,0.9045491449609118,0.095952023988006,0.17510259917920656
1082300_DF_080_080BDF0070_01927,1233,183661,2443,8502,0.9441122554751608,0.101248152405978,0.18387890537618373
1082758_DF_080_080BDF0070_02801,233,191530,2048,2028,0.9791869852276615,0.05407287073566953,0.10259797446059005
1082821_DF_080_080BDF0070_02915,84,193382,1455,918,0.9878829038138471,0.03418803418803419,0.06611570247933884
1082916_DF_080_080BDF0070_03088,32,193878,609,1320,0.9901500722532284,0.01631820499745028,0.032112393376818864
1082972_DF_080_080BDF0070_03191,321,191028,1961,2529,0.9770730038449951,0.06672209519850343,0.12509742790335152
1083021_DF_080_080BDF0070_03280,664,193927,316,932,0.9936274184406579,0.3472803347280335,0.515527950310559
1083104_DF_080_080BDF0070_03436,128,192830,1905,976,0.9852889363201405,0.042539049518112326,0.08160663053873127
1083231_DF_080_080BDF0070_03759,302,193214,1601,722,0.9881382155750387,0.11504761904761905,0.20635462931329004
1083232_DF_080_080BDF0070_03764,444,189313,3610,2472,0.9689438773686548,0.06803555010726325,0.12740315638450503
1083252_DF_080_080BDF0070_03824,141,191411,2908,1379,0.9781095695954329,0.03184281842818428,0.061720288903479976
1083253_DF_080_080BDF0070_03828,250,190092,2999,2498,0.9719310249745965,0.043500957021054464,0.08337502084375521
1083340_DF_080_080BDF0070_04015,146,193163,1391,1139,0.9870812248837055,0.05455904334828102,0.1034727143869596
1083731_DF_080_080BDF0090_00251,0,193204,0,2635,0.9865450701852031,0.0,0.0
1083752_DF_080_080BDF0090_00291,126,194664,276,773,0.9946435592502004,0.1072340425531915,0.19369715603382015
1083758_DF_080_080BDF0090_00303,1,193780,314,1744,0.9894913679093541,0.00048567265662943174,0.000970873786407767
1083759_DF_080_080BDF0090_00306,1,195041,101,696,0.9959303305266061,0.0012531328320802004,0.0025031289111389237
1083760_DF_080_080BDF0090_00307,0,195232,70,537,0.996900515219134,0.0,0.0
1083771_DF_080_080BDF0090_00328,3,194079,95,1662,0.9910283447117275,0.0017045454545454545,0.003403289846851957
1083772_DF_080_080BDF0090_00331,0,194134,203,1502,0.9912938689433668,0.0,0.0
1083773_DF_080_080BDF0090_00332,14,194086,466,1273,0.9911202569457565,0.007986309184255563,0.01584606677985286
1083774_DF_080_080BDF0090_00334,100,192554,391,2794,0.9837366408120957,0.030441400304414,0.059084194977843424
1083783_DF_080_080BDF0090_00352,89,190564,1350,3836,0.9735190641292082,0.016872037914691943,0.03318419090231171
1083784_DF_080_080BDF0090_00354,326,187959,1709,5845,0.9614274991191745,0.04137055837563452,0.07945405800633683
1083785_DF_080_080BDF0090_00355,485,187406,2706,5242,0.9594156424409847,0.05751215463061781,0.10876878223816999
1083786_DF_080_080BDF0090_00357,42,192439,1188,2170,0.9828532621183728,0.012352941176470587,0.02440441603718768
1083787_DF_080_080BDF0090_00359,21,194143,335,1340,0.9914470560000817,0.012382075471698114,0.0244612696563774
1083821_DF_080_080BDF0090_00423,0,195424,237,178,0.9978809123821097,0.0,0.0
